recommendation_set_id,valid_combination_count,primary_tasks,data_forms,target_audiences,display_levels,comparison_foci,comparison_structures,temporal_contexts,n_overlaid_series_values,n_comparison_levels_values,n_compositional_parts_values,recommendation_count,recommendation_names,recommendation_visual_mappings,recommendation_ranks,recommendation_rationales,recommendation_use_when,recommendation_cautions,recommendation_example_images,recommendation_example_sources,recommendation_example_code_files,representative_combination_id,representative_decision_path,example_data_form,example_primary_task,example_display_level,example_comparison_focus,example_comparison_structure,example_show_variability,example_many_observations,example_target_audience,example_temporal_context,example_n_overlaid_series,example_n_comparison_levels,example_n_compositional_parts,review_status,review_notes
RS011,480,event_pattern,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Event timeline or raster plot,"Time is shown on the x-axis, rows represent participants, participant-days, bouts, or event types, and marks or coloured segments show when events occur.",primary,"Shows exactly when bouts, transitions, or events occur.",Use for one participant/day or a small selected set.,"Define the event and show gaps, non-wear, or observation windows clearly.",examples/figures/event_timeline_or_raster_plot.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C001621,Primary task: Event pattern | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Independent),classified_behaviour,event_pattern,individual,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS012,480,event_pattern,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,summary,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Event-frequency time profile,"The x-axis represents time or time bins, the y-axis represents event frequency or rate, and the line or bars summarise events across participants, days, bouts, or other observed units.",primary,Shows when events are most common across the observed sample.,Use for an aggregated timing or frequency pattern.,State the denominator and bin width so frequencies can be interpreted.,examples/figures/event_frequency_time_profile.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C001861,Primary task: Event pattern | Form of accelerometer metric: Classified behaviour | Display level: Summary values only | Comparison: Conditions (Independent),classified_behaviour,event_pattern,summary,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS013,480,relationship,continuous_signal | derived_metric,general | technical,individual | multiple_observations,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Hexbin or two-dimensional density plot,One axis represents the accelerometer metric and the other represents the second continuous variable; colour intensity represents the number or density of paired data units in each bin.,primary,Directly shows where observations are concentrated when individual points overlap.,Use for a large number of paired observations containing an accelerometer metric and another continuous measured variable.,Bin or bandwidth choices affect appearance; report them and avoid hiding important subgroups.,case_study/figures/figure_07_weekday_weekend_relationship.png,NHANES case-study data,case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder.,C009187,Primary task: Relationship | Form of accelerometer metric: Continuous signal | Display level: One selected unit | Comparison: Conditions (Independent),continuous_signal,relationship,individual,conditions,independent,False,True,general,full_24h,1,1,,To review,
RS014,480,relationship,continuous_signal | derived_metric,general | technical,individual | multiple_observations,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,None,1,Scatter plot,"One axis represents the accelerometer metric, the other represents the second continuous variable, and each point represents one paired participant-, day-, bout-, or period-level value.",primary,Directly shows paired observed values and the form of their relationship.,Use when one axis is an accelerometer metric and the other is another continuous measured variable.,"This is a descriptive display of observed values, not a model result or evidence of causality.",examples/figures/scatter_plot.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C009181,Primary task: Relationship | Form of accelerometer metric: Continuous signal | Display level: One selected unit | Comparison: Conditions (Independent),continuous_signal,relationship,individual,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS015,432,compare_values,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual | multiple_observations | summary,conditions | groups | time,paired_repeated,full_24h | not_applicable | wake_time,1,2,None,1,Paired dot plot or slope chart,"The x-axis represents the two linked time points or conditions, the y-axis represents the metric value, and paired marks or lines connect the linked values. When only summaries are shown, points represent paired summary estimates and optional intervals represent uncertainty.",primary,"Shows the direction and size of a two-level paired difference, either for observed units or for paired summary estimates.","Use for two linked time points or conditions, including summary weekday-versus-weekend or pre-post estimates when individual paired values are not displayed.",Do not draw participant-level connecting lines when only summary estimates are available; use a summary paired/dumbbell layout with clearly labelled intervals instead.,case_study/figures/figure_01_overall_weekday_weekend_mims.png,NHANES case-study data,case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder.,C000013,"Primary task: How much, how often, or how long / compare values | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Paired or repeated) | Linked comparison levels: 2",classified_behaviour,compare_values,individual,conditions,paired_repeated,False,False,general,full_24h,1,2,,To review,
RS016,432,compare_values,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual | multiple_observations | summary,conditions | groups | time,paired_repeated,full_24h | not_applicable | wake_time,1,3,None,1,Repeated-measures line plot,"The x-axis represents ordered repeated time points or conditions, the y-axis represents the metric value, and each line represents one repeated observation unit.",primary,Preserves within-unit trajectories across ordered time points or conditions.,Use when the same units are measured more than twice.,Many trajectories can obscure the group pattern; consider a summary profile plus selected or transparent individual lines.,examples/figures/repeated_measures_line_plot.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C000014,"Primary task: How much, how often, or how long / compare values | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Paired or repeated) | Linked comparison levels: 3",classified_behaviour,compare_values,individual,conditions,paired_repeated,False,False,general,full_24h,1,3,,To review,
RS017,360,temporal_pattern,continuous_signal | derived_metric,general | technical,summary,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1 | 4 | 7,1 | 2 | 3,None,1,Summary time profile,"The x-axis represents time, the line represents the summary statistic, and separate lines or panels represent groups, days, or conditions when comparisons are shown.",primary,Shows the average or median temporal pattern over time.,Use when a summary pattern is sufficient and variability is unavailable or deliberately outside the visualisation's purpose.,State why variability is not shown and avoid implying that the summary represents every observation.,examples/figures/summary_time_profile.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C011101,Primary task: Temporal pattern | Form of accelerometer metric: Continuous signal | Display level: Summary values only | Comparison: Conditions (Independent) | Temporal series intended for one panel: 1,continuous_signal,temporal_pattern,summary,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS018,360,temporal_pattern,continuous_signal | derived_metric,general | technical,summary,conditions | groups | none | time,independent | not_applicable | paired_repeated,full_24h | not_applicable | wake_time,1 | 4 | 7,1 | 2 | 3,None,1,Summary time profile with interval ribbon,"The x-axis represents time, the line represents the summary statistic, and the ribbon represents variability or uncertainty.",primary,Shows the average or median temporal pattern and its variability or uncertainty.,Use for aggregated profiles and group-level temporal comparisons.,State the summary statistic and what the interval represents.,examples/figures/summary_time_profile_with_interval_ribbon.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C011137,Primary task: Temporal pattern | Form of accelerometer metric: Continuous signal | Display level: Summary values only | Comparison: Conditions (Independent) | Temporal series intended for one panel: 1,continuous_signal,temporal_pattern,summary,conditions,independent,True,False,general,full_24h,1,1,,To review,
RS019,324,composition,classified_behaviour | composition,technical,individual | multiple_observations | summary,conditions | groups | time,independent | paired_repeated,full_24h | not_applicable | wake_time,1,1 | 2 | 3,3,3,100% stacked bar chart | Small-multiple composition bars | Ternary plot,"Each bar represents a fixed whole for one group, day, or condition; coloured segments represent movement-behaviour categories and segment length represents proportion. | Each panel represents a group, day, or condition; within each panel, 100% stacked bars show behaviour categories as proportional segments of a fixed whole. | The three triangle axes represent three compositional parts, and each point represents one participant, day, bout, or other defined unit's balance across those parts.",primary | alternative | specialist alternative,Shows how a fixed whole is divided among movement behaviours. | Separates comparisons while preserving the parts-to-whole structure. | Shows the joint distribution of three compositional parts.,"Use for one composition or comparisons across a modest number of groups, days, or conditions. | Use when one stacked panel would contain too many groups or time points. | Use when individual compositions and their relative trade-offs are the focus.","Only the first segment has a common baseline; use direct labels and a consistent behaviour order. | Use the same segment order, colours, and scale in every panel. | Requires exactly three parts and explanation for audiences unfamiliar with compositional geometry.",examples/figures/100_percent_stacked_bar_chart.png | examples/figures/small_multiple_composition_bars.png | examples/figures/ternary_plot.png,Simulated mock data | Simulated mock data | Simulated mock data,examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py,C000371,Primary task: Composition | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Independent) | Compositional parts: 3,classified_behaviour,composition,individual,conditions,independent,False,False,technical,full_24h,1,1,3,To review,
RS020,288,compare_values,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual | multiple_observations,conditions | groups | time,independent,full_24h | not_applicable | wake_time,1,1,None,2,Dot plot with summary and interval | Box or violin plot with raw points,"Categories are shown on one axis and metric values on the other; raw points show participants, days, bouts, or other observed units, a marker shows the summary, and an interval shows variability or uncertainty. | Categories are shown on one axis, metric values on the other; the box or violin shows the distribution and points show individual participants, days, bouts, or other observed units.",primary | alternative,Shows observed values alongside the group summary and uncertainty. | Adds distributional context to comparisons of movement metrics.,"Use for independent group, time, or condition comparisons. | Use when spread or distribution shape is part of the message.",Use jitter or transparency carefully so the number of observations remains clear. | Do not use a violin layer for very small samples.,examples/figures/dot_plot_with_summary_and_interval.png | examples/figures/box_or_violin_plot_with_raw_points.png,Simulated mock data | Simulated mock data,examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py,C000001,"Primary task: How much, how often, or how long / compare values | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: Conditions (Independent)",classified_behaviour,compare_values,individual,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS021,108,composition,classified_behaviour | composition,general,individual | multiple_observations | summary,none,not_applicable,full_24h | not_applicable | wake_time,1,1,2 | 3 | 4,2,Pie or doughnut chart | 100% stacked bar chart,"Each slice represents a movement-behaviour category and slice angle or area represents that category's proportion of the fixed whole. | Each bar represents a fixed whole for one group, day, or condition; coloured segments represent movement-behaviour categories and segment length represents proportion.",primary | comparison alternative,Uses a familiar parts-of-a-whole display for movement-behaviour proportions. | Shows the same fixed whole with segment lengths that are easier to compare.,"Use for one composition or a very small set of simple compositions intended for non-specialist audiences. | Use when proportions need to be compared across groups, days, or conditions.",Avoid many slices or many pies; use direct labels and switch to a 100% stacked bar when precise comparison is the main message. | Only the first segment has a common baseline; use direct labels and a consistent behaviour order.,examples/figures/pie_or_doughnut_chart.png | examples/figures/100_percent_stacked_bar_chart.png,Simulated mock data | Simulated mock data,examples/generate_mock_visualisation_examples.py | examples/generate_mock_visualisation_examples.py,C000577,Primary task: Composition | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: No explicit comparison | Compositional parts: 2,classified_behaviour,composition,individual,none,not_applicable,False,False,general,full_24h,1,1,2,To review,
RS022,72,composition,classified_behaviour | composition,technical,individual | multiple_observations | summary,none,not_applicable,full_24h | not_applicable | wake_time,1,1,2 | 4,1,100% stacked bar chart,"Each bar represents a fixed whole for one group, day, or condition; coloured segments represent movement-behaviour categories and segment length represents proportion.",primary,Shows how a fixed whole is divided among movement behaviours.,"Use for one composition or comparisons across a modest number of groups, days, or conditions.",Only the first segment has a common baseline; use direct labels and a consistent behaviour order.,examples/figures/100_percent_stacked_bar_chart.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C000586,Primary task: Composition | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: No explicit comparison | Compositional parts: 2,classified_behaviour,composition,individual,none,not_applicable,False,False,technical,full_24h,1,1,2,To review,
RS023,72,distribution,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual | multiple_observations | summary,none,not_applicable,full_24h | not_applicable | wake_time,1,1,None,2,Histogram or density plot | Empirical cumulative distribution (ECDF),"The x-axis represents the metric value and the y-axis represents frequency, count, or density. | The x-axis represents the metric value and the y-axis represents the cumulative proportion of participants, days, bouts, or other observed units at or below that value.",primary | alternative,"Shows the shape, spread, skewness, and possible multiple modes. | Shows the complete observed distribution without selecting histogram bins.",Use to understand the distribution of a continuous movement metric. | Use when thresholds and percentile comparisons are important.,Histogram appearance depends on bin width; density plots may hide sample size. | May be less familiar to general audiences and needs a clear explanation.,case_study/figures/figure_06_individual_difference_distribution.png | examples/figures/empirical_cumulative_distribution_ecdf.png,NHANES case-study data | Simulated mock data,case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder. | examples/generate_mock_visualisation_examples.py,C001477,Primary task: Distribution | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: No explicit comparison,classified_behaviour,distribution,individual,none,not_applicable,True,False,general,full_24h,1,1,,To review,
RS024,72,compare_values,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,summary,conditions | groups | time,independent,full_24h | not_applicable | wake_time,1,1,None,2,Point-range plot | Bar chart,"Categories are shown on one axis and summary values on the other; intervals represent variability or uncertainty. | Categories or one selected metric are shown on one axis and bar length or height represents a count, total, duration, or proportion.",primary | conditional alternative,"Compares accelerometer summary metrics precisely using position and displays uncertainty. | Uses length from zero to compare counts, totals, or proportions.","Use for means, medians, rates, proportions, or other direct metric summaries with intervals. | Use only when magnitude relative to a meaningful zero is central.","Define both the summary metric and interval; avoid implying that overlapping confidence intervals are a formal significance test. | For means or other summary metrics, a point-range plot is usually more informative.",case_study/figures/figure_02_difference_by_subgroup_adults.png | case_study/figures/figure_09_percentage_difference_bar_alternative.png,NHANES case-study data | NHANES case-study data,case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder. | case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder.,C000247,"Primary task: How much, how often, or how long / compare values | Form of accelerometer metric: Classified behaviour | Display level: Summary values only | Comparison: Conditions (Independent)",classified_behaviour,compare_values,summary,conditions,independent,True,False,general,full_24h,1,1,,To review,
RS025,72,compare_values,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,summary,conditions | groups | time,independent,full_24h | not_applicable | wake_time,1,1,None,2,Summary dot plot | Bar chart,"Categories are shown on one axis and summary values on the other; each dot represents one summary value without an interval. | Categories or one selected metric are shown on one axis and bar length or height represents a count, total, duration, or proportion.",primary | conditional alternative,"Compares summary values precisely using position without implying a distribution. | Uses length from zero to compare counts, totals, or proportions.",Use when uncertainty is unavailable or deliberately outside the visualisation's purpose. | Use only when magnitude relative to a meaningful zero is central.,"State what each dot represents and why no uncertainty or variability is shown. | For means or other summary metrics, a point-range plot is usually more informative.",case_study/figures/figure_08_percentage_difference_summary_dot.png | case_study/figures/figure_09_percentage_difference_bar_alternative.png,NHANES case-study data | NHANES case-study data,case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder. | case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder.,C000241,"Primary task: How much, how often, or how long / compare values | Form of accelerometer metric: Classified behaviour | Display level: Summary values only | Comparison: Conditions (Independent)",classified_behaviour,compare_values,summary,conditions,independent,False,False,general,full_24h,1,1,,To review,
RS026,48,compare_values,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,individual,none,not_applicable,full_24h | not_applicable | wake_time,1,1,None,1,Bar chart,"Categories or one selected metric are shown on one axis and bar length or height represents a count, total, duration, or proportion.",primary,"Communicates the magnitude of one duration, frequency, volume, or proportion using a familiar length encoding.","Use for one selected participant, day, bout, behaviour, or other observation, such as how long one classified behaviour lasted.","For a single value, direct text may be enough. If a bar is used, use a meaningful zero baseline and label the value and units directly.",case_study/figures/figure_09_percentage_difference_bar_alternative.png,NHANES case-study data,case_study/create_case_study_visualisations.py in the repository; Case study/scripts/create_case_study_visualisations.py in the shared Use cases folder.,C000073,"Primary task: How much, how often, or how long / compare values | Form of accelerometer metric: Classified behaviour | Display level: One selected unit | Comparison: No explicit comparison",classified_behaviour,compare_values,individual,none,not_applicable,False,False,general,full_24h,1,1,,To review,
RS027,48,compare_values,classified_behaviour | composition | continuous_signal | derived_metric,general | technical,multiple_observations,none,not_applicable,full_24h | not_applicable | wake_time,1,1,None,1,Dot plot of observed values,"The metric value is shown on one axis and each point represents one participant, day, bout, or other observed unit; an optional marker can show a clearly labelled summary.",primary,"Shows how much, how often, or how long for several observed units without forcing an artificial comparison group.","Use when multiple participants, days, bouts, or observations should remain visible but the aim is not to compare groups, time periods, or conditions.","If the main message is distribution shape, spread, or unusual values, choose distribution as the main visual task instead.",examples/figures/dot_plot_of_observed_values.png,Simulated mock data,examples/generate_mock_visualisation_examples.py,C000193,"Primary task: How much, how often, or how long / compare values | Form of accelerometer metric: Classified behaviour | Display level: Multiple participants, days, or bouts | Comparison: No explicit comparison",classified_behaviour,compare_values,multiple_observations,none,not_applicable,False,False,general,full_24h,1,1,,To review,
